Lat,Long,Depth,Magnitude
27.15,92.33,10,3.8
22.89,94.29,43,4.6
30.83,78.42,10,2.8
24.67,92.19,30,5.5
38.74,71.25,34,5.1
26.12,99.85,41,5.4
36.54,70.59,175,4.5
25.43,91.61,19,3.3
26.6,91.36,10,4
24.96,93.7,35,3.8
36.9,70.44,96,4.6
34.1,84.45,33,3.3
29.65,80.42,10,3.3
28.83,76.78,10,2.5
28.87,76.67,10,2.3
28.67,82.25,10,4.9
24.33,68.51,20,4.4
37.22,71.61,51,3.8
36.45,69.72,96,4.3
28.66,76.58,10,2.2
3.38,92.79,31,4.3
25.25,63.29,10,4
26.96,92.45,45,3.3
24.66,94.65,27,3.5
3.89,96.64,41,4.5
38.15,77.39,10,3.6
36.45,70.58,33,3.5
37.66,72.4,30,3.9
36.44,70.95,52,4.3
36.68,70.51,147,4.7
29.5,96.11,27,4.5
23.21,94,10,3.6
36.42,69.85,213,5.1
36.39,69.62,96,4.2
36.85,71.6,30,3.5
26.66,96.1,10,2.2
35.7,95.4,10,4.3
12.7,93.84,91,4.7
37.41,71.49,66,4.5
7.55,93.82,43,4.5
14.42,93.2,28,4.4
23.29,64.13,10,4.3
37.92,73.19,33,4
38.75,70.15,10,4
37.57,72.6,98,4.1
29.1,76.68,10,2.4
36.23,70.83,30,3.6
29.95,80.64,10,2.8
33.56,95.55,10,4.4
24.19,68.39,10,3.9
24.17,68.26,10,4
33.35,95.38,10,4.6
26.37,93.54,20,3.2
30.49,67.33,10,3.6
11.16,93.64,138,4.6
19.83,94.29,10,3.6
37.62,69.5,33,4.1
29.88,79.96,10,2.9
37.8,96.9,10,4.2
23.49,70.4,10,3.9
36.48,70,96,3.9
23.5,95.87,10,4.6
36.49,68.68,62,4.1
27.45,92.1,30,2.4
27.17,75.13,10,2.3
2.54,90.28,10,4.8
1.1,96.96,35,4.8
27.14,92.54,46,3.3
27.63,92.75,10,3.5
19.27,95.77,10,5.7
36.3,70.9,212,5.5
24.92,94.17,48,3.6
19.24,95.64,10,5.6
32.82,73.17,16,4.3
26.66,92.56,28,3.5
36.45,71.4,73,5.4
30.46,88.1,10,3.5
30.52,79.1,10,3.8
25.6,93.45,20,2.5
36.38,70.29,30,3.5
27.75,75.54,10,2
24.19,94.36,27,3.6
25.2,93.8,15,3.1
36.91,70.93,30,3.6
36.45,70.3,30,3.8
5.63,93.27,37,4.6
25.58,91.68,10,3.1
29.18,76.67,10,2.2
28.97,76.6,10,3.5
28.95,76.68,8,2
28.58,76.99,10,2
19.26,95.83,10,5.5
28.79,76.74,13,2.5
37.99,71.99,105,4.6
24.65,93.6,39,2.9
36.38,70.99,30,3.3
2.64,92.21,35,4.7
27.93,76.92,10,1.6
26.1,91.99,36,4.4
19.96,86.42,10,3.5
28.99,95.23,40,5.1
28.6,62.13,66,7.2
25.68,90.87,10,3.2
25.99,99.89,38,5.1
33.17,76.39,10,3.4
28.9,62.27,56,5.7
28.9,62.57,90,4.9
28.48,75.43,10,2.1
29.45,63.21,19,4.5
23.2,93.76,10,3.4
27.45,87.85,10,3.5
34.52,72.65,26,4.3
25.34,94.78,30,3.4
27.44,88.59,10,3.2
26.55,93.15,35,3.4
23.17,93.91,10,4.6
22.67,94.42,10,3.7
28.94,76.66,10,2
34.57,70.5,71,5.7
26.15,66.5,10,3.7
29.83,81.22,10,3.3
32.39,76.24,10,3
24.71,91.83,10,3.2
27.57,92.48,10,3.5
27.64,92.47,10,4.1
27.4,92.51,10,4.6
30.1,77.81,10,2.7
29.1,79.1,10,3
26.74,65.97,10,3.4
24.62,94.86,10,2.8
29.55,81.38,10,3.7
28.86,76.87,10,3.1
32.97,75.31,10,4
33.23,75.7,19,5.6
33.5,75.67,9,4.3
33.9,75.54,7,3.3
33.21,75.89,3,3.4
33.19,75.66,9,3.8
32.96,75.56,12,3.5
33.23,75.71,13,3.2
33.6,75.48,7,4.2
33.14,75.64,16,3.3
27.95,88.44,35,2.9
33.15,75.56,6,3.9
33.19,75.75,10,3.1
32.73,75.19,3,2.7
23.44,94.12,14,3.6
33.28,75.88,9,3.6
12.91,93.38,61,4.6
33.12,75.68,5,2.6
33.4,75.57,5,2.9
32.95,75.23,7,2.9
32.73,75.25,8,2.7
2.15,92.54,30,4.6
32.8,75.96,9,2.5
33.12,75.6,15,3.5
32.91,75.45,3,2.9
33.1,75.53,9,2.7
33.17,75.91,7,2.5
13.18,92.24,34,4.3
30.84,76.57,15,2.6
32.82,76.21,11,2.5
13.69,92.42,38,4.2
28.84,77.49,18,2.6
33.36,75.86,9,2.9
36.8,69.8,30,3.9
27.61,63.6,33,4.4
32.99,75.44,13,2.7
32.87,75.19,15,2.6
24.35,91.79,24,3.5
23.97,94.14,32,2.7
35.56,70.1,33,4.5
24.9,95.22,18,2.8
33.9,75.62,8,3.4
33.16,76.1,6,4.4
33.8,75.52,10,4.5
24.8,92.32,12,3.2
33.1,75.72,8,3.8
0.99,97.35,35,4.7
0.83,97.31,36,4.9
32.9,75.58,9,3.8
31.37,86.6,10,4
31.25,86.34,10,4.3
5.94,93.78,53,4.5
37.38,71.7,93,4.2
36.6,70.24,181,5.4
22.3,95.3,10,3.6
38.48,74.1,105,4.8
24.68,94.2,33,4
23.17,93.82,18,2.9
26.3,92.35,10,3
39.99,67.17,18,6.1
24.2,91.59,11,3
27.73,96.52,6,3
24.3,93.94,6,3
20.28,94.14,10,3.3
27.5,92.46,19,3.3
28.27,87.75,25,3.7
36.63,70.62,96,4.3
27.33,92.67,10,3.6
22.2,88.54,16,4
36.56,69.95,158,4.2
27.29,91.92,10,3.2
24.16,91.64,15,3.5
26.91,96.57,30,3.7
32.65,76.56,9,4.7
32.68,76.42,10,3.2
36.92,70.97,79,4.3
32.63,76.16,12,3.4
37.54,95.87,9,5.5
32.79,76.11,12,4.4
36.53,70.11,144,4.4
10.56,91.58,24,4.7
26.36,93.63,31,2.7
37.14,78.69,10,3.4
35.13,69.12,37,3.3
36.65,77.46,95,4.3
36.12,69.49,33,4.1
36.22,70.29,83,4
25.94,93.13,28,2.9
32.54,76.8,8,2.4
36.1,69.92,37,4.1
33.72,69.19,30,4
24.54,93.55,7,3.5
35.4,69.52,33,4.1
27.56,92.41,10,3.7
36.59,70.77,196,4.8
24.17,91.42,18,3.6
26.15,92.95,33,2.7
25.33,91.53,31,3.5
24.77,90.4,9,3.9
23.76,94.23,12,3.3
34.51,69.53,47,3.6
36.84,73.2,71,4.7
35.52,70.26,33,4.4
37.59,69.43,15,4.5
25.7,90.7,10,3.2
28.71,86.53,30,3.5
39.76,71.38,19,4.5
36.42,71.5,103,4.5
9.61,91.21,35,5.2
37.35,71.87,30,4.3
30.1,80.43,8,3.5
26.96,92.29,29,3
28.71,82.29,12,5
10.82,93.7,108,4.7
35.41,71.93,13,4.5
28.54,76.31,15,2.6
21.99,74.83,19,3.3
39.63,72.78,11,5
39.44,72.45,26,4.4
21.83,93.17,28,3.1
39.48,73.41,47,4.3
33.26,92.74,23,4.5
4.63,96.65,13,6.1
4.47,97.21,21,5.3
4.69,96.68,10,5.2
36.28,70.28,201,5.3
36.2,69.52,15,4.3
35.72,68.74,38,3.7
37.6,71.21,33,4.2
23.1,94.32,15,3.6
25.5,93.94,10,3.9
36.55,70.49,211,4.1
2.48,98.81,17,4.6
30.61,77.85,26,2.9
38.53,69.3,33,4.4
36.39,71.39,15,4.1
33.97,77.4,10,3.7
24.73,95.17,20,3.5
26.32,93.33,34,3.6
24.16,91.34,28,4.1
23.42,93.83,39,3.1
28.35,76.79,10,2
2.26,96.37,32,4.7
32.76,78.42,15,5
38.8,72.17,38,4.4
1.39,99.46,10,4.9
26.34,93.51,15,3.3
30.41,79.6,12,3
28.95,95.85,10,4
33.8,75.52,10,3.9
26.34,90.77,11,3.7
26.21,92.2,20,3.5
36.51,70.7,212,4.3
32.36,76.29,13,4.5
28.34,94.92,10,3.5
36.53,70.65,99,4.5
36.4,68.76,15,4.5
22.78,94.33,20,3.6
33.4,76.24,10,4.5
28.33,87.65,34,4.7
5.4,98.1,29,5.4
27.58,92.43,10,3.6
33.72,73.86,10,3.1
28.84,76.93,15,3
19.33,94.63,57,3.7
22.15,94.24,22,4.4
36.76,71.16,192,4.7
24.12,93.5,30,3.2
22.96,94.23,15,3.2
33.7,75.32,10,3.8
37.98,72.91,15,4.5
20.33,71.7,20,2.9
36.46,69.72,119,4.5
36.5,70.71,15,3.9
28.72,76.92,12,2.1
4.93,95,51,4.6
36.45,70.27,176,5.6
23.64,70.42,15,3.5
24.63,62.43,10,4.6
36.95,71.9,200,4.7
7.69,94.7,13,4.6
33.17,75.38,11,3.9
32.1,70.72,10,4.2
33.39,75.65,10,5.4
24,94.69,18,5
33.23,75.84,9,2.9
29.25,88.84,10,3.2
33.63,75.75,20,5.1
33.67,75.93,10,3.6
33.56,75.67,10,3.3
27.2,70.76,10,4.1
33.35,76.7,10,4.3
29.1,70.12,10,4.1
33.31,76.1,15,3.9
31.32,86.5,10,4
31.4,86.36,15,3.6
1.59,98.68,30,4.8
20.49,93.71,10,4
33.63,75.31,10,4.1
30.68,65.9,10,4.1
28.93,76.71,14,2.4
36.33,70.35,102,4.2
36.22,70.97,82,3.9
24.85,91.86,17,3.6
30.54,98.36,8,4.8
30.23,98.14,9,4.6
30.19,97.9,10,4.5
30.13,97.61,10,4.2
30.61,97.82,10,4.8
16.96,72.79,10,2.8
33.57,67.5,14,4.3
30.21,98.58,41,4.3
26.25,95.69,26,3.7
33.64,75.9,23,3.4
22.96,93.84,10,3.1
11.3,95.5,38,4.4
5.65,94.83,66,5.2
24.19,91.39,26,3
11.33,93.34,9,4.9
27.34,88.49,10,3
26.45,93.13,33,3.2
31.76,98.95,49,4.9
23.88,94.14,39,3
23.28,93.47,31,2.8
33.35,75.95,9,4.7
33.6,75.59,10,4.1
37.17,71.8,30,3.9
27.76,76.18,8,2.3
26.67,92.55,38,4.2
26.69,92.53,33,4
24.56,94.68,14,3.8
26.16,93.9,30,3.3
37.8,72.32,30,3.6
25.51,96.63,10,2.9
22.32,91.74,20,2.9
37.34,71.57,53,4.9
28.67,77.27,12,2
37.22,71.55,60,4.8
1.64,95.82,10,5.1
26.29,94.68,23,3.3
33.33,94.1,10,4.7
24.23,91.4,9,3.7
28.82,99.81,10,4.6
32.97,75.62,11,3.3
31.39,76.17,10,4.7
28.13,85.9,23,4.9
28.23,85.96,20,3.8
28.55,99.61,15,5.6
24.55,94.19,9,3.7
29.12,94.35,10,4
26.43,93.53,30,2.9
36.12,70.8,280,3.8
35.52,70.89,7,3.8
28.41,99.76,10,3.9
36.5,71.21,111,4.3
24.27,69.33,10,4.2
33.2,75.6,15,4.4
28.77,99.64,44,4.4
28.44,99.68,10,4.1
28.32,87.63,16,4
27.74,99.74,30,4.1
2.77,99.21,98,4.8
29.42,89.56,23,4
8.51,93.39,39,4.3
36.58,68.99,76,4.1
2.21,96.72,33,4.8
37.6,71.54,219,3.9
2.31,97.2,30,4.6
26.62,75.52,11,3.1
17.24,73.77,15,4
33.25,75.26,10,4.4
30.67,78.58,14,3
28.31,99.5,30,4.4
25.31,94.93,28,4.8
1.12,92.61,25,4.9
28.17,99.81,10,4.1
25.56,91.97,12,3.5
36.64,69.82,173,5.3
36.43,70.21,215,3.9
23.1,96.2,10,4.1
27.2,92.47,10,4.6
27.4,92.45,10,3.5
35.4,69.23,66,4.5
24.2,94.25,19,3.3
10.1,93.1,10,4.6
34.88,80.98,11,4.8
26.83,95.54,10,2.9
36.99,72.55,369,3.8
31.2,78,11,2.9
36.19,70.1,15,4.1
27.23,92.43,10,3.5
33.21,76.35,15,3.4
36.3,70.1,98,4.5
36.46,70.71,221,4.8
30.83,83.25,19,4.3
16.73,94.49,15,4.2
36.57,71.1,137,4.6
39.77,73.71,60,3.8
5.25,94.32,46,4.3
32.14,71.34,10,3.8
7.38,93.62,33,4.5
2.82,97.29,104,4.5
13.31,92.49,15,3.4
1.9,96.6,71,4.5
37.9,75.9,15,4.1
35.92,69.87,30,3.9
22.97,96.16,10,4.8
22.94,96.11,10,5.3
37.47,72.19,209,3.6
35.2,70.91,96,3.7
31.83,86.72,10,3.2
1.86,66.66,15,4.8
5.33,94.72,60,4.8
30.5,81.81,35,3.4
26.22,79.44,16,3.5
36.42,70.56,196,4
26.95,65.52,9,7.2
27.2,65.66,10,5.2
26.75,65.74,8,4.4
26.84,66.24,10,3.9
26.53,65.3,10,4
25.33,66,10,4.4
26.35,66.47,10,2.8
26.72,65.61,10,4.4
27.35,65.78,10,4.5
26.84,65.56,10,4.4
25.91,63.9,15,4
27.36,65.61,10,5.7
27.8,65.42,10,3.6
27.51,65.6,10,5.1
27.9,65.74,10,3.9
27.31,65.54,10,3.7
26.91,65.36,15,4.6
27,65.27,10,4.6
27.18,65.21,7,5.6
27.26,65.54,10,4
27.18,66.53,10,4
27.11,65.21,10,3.6
27.21,65.39,39,4
27.35,65.43,14,4.3
27.45,65.82,1,4.7
27.18,65.38,10,4.4
27.1,65.48,15,4.1
27.41,65.64,15,4.1
27.11,65.22,15,4.2
27.14,64.91,53,4.6
36.6,70.51,156,4.9
35.88,70.3,127,4
26.14,90.53,15,3.9
27.47,65.2,38,4
12.69,79.21,15,3.4
24.14,93.17,30,3.5
30.22,70.4,10,3.6
2.85,96.7,33,4.8
35.75,69.72,33,4.2
1.51,96.97,33,4.7
27.2,65.29,10,3.9
27.16,65.43,10,4
27.4,65.26,10,3.9
27.3,65.91,13,4.6
27.19,65.44,10,7
27.18,65.67,10,3.6
24.57,95.57,30,4.1
26.32,65.15,15,4
25.6,94.84,90,4
36.71,71.39,251,4.5
38.56,70.21,15,4.2
26.55,60.74,10,4.7
19.36,60.55,15,5.1
27.32,88.58,5,5.3
35.86,70.33,33,3.6
35.92,71.97,135,5
13.16,92.46,17,4.8
10.39,76.63,33,3.1
27.9,65.1,10,3.9
37.48,75.87,172,4.7
35.51,69.64,39,3.7
36.7,70.73,306,4.2
26.42,91.93,20,3.8
9.29,92.1,10,3.6
36.15,70.47,264,4
27.16,92.54,10,3.3
22.49,95.92,37,3.5
28.26,66.26,10,3.9
27.25,64.92,39,3.9
28.75,76.73,15,3.3
27.7,65.7,10,4.2
36.8,70.9,104,5.5
10.88,91.48,26,4
37.14,71.14,119,4.5
36.24,70.97,306,4.3
4.4,96.53,35,5.6
28.56,77.11,19,2.2
25.49,67.25,10,4
24.56,94.54,15,3
27.68,92.86,5,3.3
28.62,94.6,5,3
14.8,92.94,27,3.9
28.2,87.79,82,3.2
36.18,71.9,138,3.5
36.7,71.13,216,4.2
26.39,63.82,10,4.8
28.53,66.4,8,5.3
35.89,70.27,294,4.6
36.17,70.82,79,4.5
27.23,65.57,10,4.1
27.4,65.1,10,4.2
26.95,65.42,10,4.3
24.26,94.36,18,3.2
37.32,72.19,291,3.9
35.56,77.65,129,5.3
34.88,77.15,33,4.6
35.56,77.26,66,5.1
3.25,90.2,15,4.8
23.13,94.23,17,3.4
5.27,95.83,14,5.5
35.54,77.65,10,3.5
35.75,69.28,268,3.7
24.65,93.34,32,3
35.9,77.29,10,3.6
14.3,93.6,27,5.4
14.22,92.74,18,4.5
30.28,71.66,15,3.4
39.16,96.54,10,4.7
33.6,75.17,10,3.9
28.1,77.9,15,3
25.44,90.82,5,3.4
13.47,92.33,17,3.8
30.32,69.62,10,3.7
36.31,70.9,140,4.4
24.45,94.94,15,2.9
36.83,71.51,316,4.5
8.31,92.74,10,3.6
9.86,92.68,10,3.8
25.95,63.1,10,4.5
37.71,72.65,15,3.8
23.6,94.17,7,4.9
27.51,91.49,4,4.4
35.62,76.91,40,3.4
31.86,74.52,23,3
32.93,81.29,10,2.7
36.44,71.28,367,3.6
36.83,70.83,180,5.2
2.43,92.33,45,4.9
29.36,81.76,10,3.7
10.39,92.56,5,4.4
36.3,74.73,99,4.4
4.74,92.97,33,4.4
35.75,70.5,96,3.9
14.27,92.91,19,4.6
1.62,89.75,10,5.5
26.47,93.6,34,5.3
13.21,92.18,24,4
31.43,76.23,15,4.4
17.15,73.87,2,2.8
17.15,73.89,5,3.4
35.96,69.71,66,3.8
38.35,69.6,15,5.2
25.1,62.97,15,4.6
11.9,91.72,38,4.2
35.75,77.7,15,3.8
28.59,77.1,13,3.1
28.62,77.22,13,2.9
28.62,77.2,13,2.6
28.62,77.2,14,3.3
28.63,77.23,16,2.6
28.61,77.25,15,2.6
28.61,77.18,12,1.9
28.66,77.12,12,1.9
28.61,77.22,13,2
28.63,77.16,9,1.8
28.61,77.24,13,2.3
28.62,77.23,13,2.5
28.66,77.13,12,2.9
28.64,77.15,11,2.1
37.58,67.39,10,4.4
24.5,94.55,22,4.1
36.18,70.7,60,3.7
30.78,97.52,25,4.2
1.19,90.74,12,5.2
28.69,77.4,2,1.5
36.39,71.27,180,4.1
37.83,71.69,15,3.7
30.6,79.17,5,3.5
18.85,72.17,5,2.4
36.46,70.74,279,4.2
26.12,64.18,15,4
29.83,67.24,15,4.9
5.25,94.93,68,5
28.71,77.6,3,2.7
34.88,78.18,15,4
36.83,71.5,96,4.2
24.93,95.3,15,3.7
30.3,66.15,15,4.2
4.44,89.87,10,5.5
36.1,77.89,82,4
36.1,70.16,183,4.2
28.61,77.27,12,1.7
36.35,69.74,226,4.4
21.92,79.86,10,2.9
12.56,95.15,10,5.6
26.67,93.21,50,3.6
6,92.62,18,5.6
36.49,86.73,45,5.3
36.16,77.57,15,3.5
36.14,70.16,153,4.1
30.99,93.57,5,3.4
36.26,70.72,178,4.2
35.58,77.44,10,4.1
29.26,77.24,15,2.7
36.66,70.36,253,4.1
26.35,96.9,127,4.1
37.27,72.4,197,3.9
29.1,95.82,10,4.8
37.29,70.77,94,4.7
28.71,99.76,10,4.3
17.39,73.74,10,3.5
2.42,97.14,13,5.8
36.9,71.1,96,3.6
36.93,70.63,202,4.5
37.6,72.29,136,4.5
2.44,97.22,27,5.3
23.79,92.84,30,3.5
30.71,67.9,40,3.6
36.67,71.44,202,4
27.19,91.84,72,3.1
36.72,71.19,91,4.4
13.82,92.57,6,4.8
33.58,73.94,10,4.3
26.55,89.49,23,4.9
37.34,72.68,33,4.8
36.31,70.61,179,4.6
33.33,79.28,39,3.7
30.62,88.68,11,3.1
37.87,71.4,15,4
36.56,76.67,15,4
28.34,65.86,10,4.1
36.62,69.9,153,4.3
11.82,93.44,159,4.6
24.9,91.15,48,3.5
10.99,76.26,5,3.4
27.82,87.67,4,3.7
9.6,92.97,8,4.5
11.7,76.42,17,3.4
36.4,70.21,111,4.8
35.9,70.34,413,4.1
17.75,77.59,15,2.5C
36.45,70.71,309,4
31.87,69.52,43,4.2
37.24,72.31,330,4.2
29.99,69.32,23,4.3
34.36,89.59,10,4.4
30.6,69.16,36,4.2
36.7,71.32,154,4.5
36.3,70.33,250,4.7
32.5,69.39,15,4.1
28.8,95.71,10,3.5
36.17,70.5,33,3.5
29.7,99.8,10,3.9
26.89,89.45,17,3.5
30.59,68.95,40,3.8
29.68,69.61,38,3.8
24.88,95.2,138,4
24.7,90.89,19,3.7
31.46,78.7,5,3.5
37.5,78.99,10,4.2
31.48,78.9,5,3.5
33.43,93.18,79,3.9
27.68,67.32,10,5.5
27.74,67.37,15,4.1
27.38,67.5,10,4.1
14.44,92.9,38,5
31.75,72.1,19,4
27.96,65.54,10,4.2
27.83,62.44,37,3.9
4.72,96.68,91,5.2
37.16,70.79,33,4
36.4,70.8,268,4.6
36.47,71.4,82,5.1
37.42,71.88,158,4.7
38.14,74.9,176,5
31.22,78.33,25,3.8
10.85,91.92,40,4
22.6,94.24,66,3.9
36.83,70.1,113,4.4
36.85,72.99,10,3.9
35.41,69.66,33,3.9
37.54,72.1,170,4.4
11.88,95.48,10,4.6
24.35,93.1,12,4.1
21.43,94.5,66,3.6
27.91,99.57,10,3.6
36.55,70.68,258,4.4
36.99,68.24,33,4
38.3,75.45,125,3.6
33.7,75.41,4,3.8
36.42,70.92,288,4.1
36.31,69.54,107,4.8
20.7,73.1,15,3.5
22.8,94.2,33,3.1
18.68,77.71,15,2.7
27.34,65.37,29,4.2
32.76,76.4,5,2.2
27.33,65.45,6,4.3
27.32,65.28,15,4.7
28.3,93.25,10,3.9
21.21,93.99,83,4
36.54,71.13,262,4.8
8.71,93.52,30,3.3
2.31,93.62,19,4.9
36.41,71.47,139,5.1
36.47,71.24,145,5.1
37.94,68.68,15,4.3
31.67,90.12,65,5
16.1,82.52,7,2.8
36.52,70.82,306,4.3
25.46,98.9,10,3.6
1.87,91.14,10,5
32.72,93.72,17,4.6
22.12,92.93,15,3
29.84,80.55,5,2.8
6.49,95.35,233,3.9
30.59,77.1,16,2.8
36.54,68.88,352,3.6
18.32,77.46,68,2.9
36.71,71.85,92,4.3
24.12,93.72,15,3.3
36.38,71.26,309,4.4
22.65,95.81,10,3.1
39.14,72.39,38,3.4
34.63,69.8,37,3.4
23.3,96.3,10,5.1
29.12,60.21,10,4.7
34.97,72.52,33,4.4
14.31,93.4,20,3.3
24.21,93.5,74,5
30.4,99.8,10,4.4
22.78,94.31,40,4.6
24.92,62.67,33,5.1
6.26,96.8,183,3.6
39.39,70.38,33,4.4
22.61,96.42,10,3.1
12.54,95.6,10,5.1
38.72,73.4,33,4.7
36.26,70.18,214,4.3
39.7,73.87,15,4.2
35.49,70.5,153,4.7
32.81,76.14,5,2.8
32.81,76.18,5,2.6
32.92,76.18,5,3.4
37.44,75.4,357,3.8
38,74.93,115,4.4
28.66,96.86,96,3.3
31.1,90.31,27,4.3
36.84,71.44,238,4.1
8.98,92.77,15,3.4
36.69,71.22,323,3.8
36.42,70.1,312,4.2
23.18,96.26,6,3
25.93,95.17,143,3
36.84,71.2,94,3.7
27.14,65.28,18,4.7
33.84,89.18,49,5.1
36.51,82.81,10,5.1
35.72,82.61,33,6.4
35.82,82.47,10,5.8
11.57,93.98,114,4.3
22.67,94.45,92,3.5
24.71,89.64,13,4
36.44,71.1,229,4.8
9.96,94.33,16,3.9
30.42,79.25,10,3.7
30.3,79.94,10,3.5
36.87,71.39,196,4.4
13.93,93.13,9,3.2
37.96,72.84,150,4
29.97,76.19,10,3.9
30.4,76.22,9,3.5
36.78,74.1,66,4.2
1.6,97.56,32,5.1
1.7,97.39,10,5
26.93,92.59,76,4.5
31.37,69.37,15,3.6
30.46,79.22,10,3.5
4.2,62.97,2,4.9
36.69,70.67,236,4.1
24.59,93.68,19,4
38.41,74.48,33,4.1
7.43,94.52,72,5.2
23.45,91.61,21,3.7
28.73,77.27,12,2.6
36.8,71.32,399,4.4
37.33,71.94,150,4
27.4,70.61,10,3.5
28.49,67.77,15,3.8
30.69,69.26,10,3.5
26.25,90.14,10,3.5
1.86,67.32,10,4.6
31.86,90.75,10,4.7
36.75,71.99,217,4.1
23.52,70.22,10,4
37.8,72.2,92,4
36.51,70.65,150,3.9
19.29,95.74,33,5
29.49,67.25,10,4.2
13.78,92.74,23,4.9
34.32,69.77,10,4.1
29.87,80.3,5,2.9
27.51,92.68,10,3.7
39.78,72.27,192,4.2
7.64,94.41,21,5.4
28.1,76.53,5,2.7
7.19,94.88,33,4.9
36.24,70.67,270,3.9
27.9,66.96,10,4.3
37.21,71.92,202,4.1
22.73,96.3,33,3.3
36.46,71.5,130,4.7
30.63,77.86,5,3.1
36.26,69.86,123,5.1
38.57,74.48,33,4.3
23.33,94.38,109,4.7
31.72,73.61,41,4.1
36.93,70.85,120,4
7.67,94.4,28,6.3
7.49,94.46,17,5.4
7.14,94.26,25,5.2
7.5,94.35,10,5
6.83,93.43,10,4.1
7.3,94.7,10,4.8
6.93,94.7,10,4.4
7.48,94.8,10,4.5
7.38,94.54,10,4.3
7.49,94.48,1,4.5
7.85,94.11,10,4.7
7.4,94.77,10,4
7.33,94.21,10,3.4
7.39,94.5,10,5.1
7.31,94.42,16,4.6
7.31,94.36,10,4.5
7.48,94.35,10,4.8
23.8,94.24,38,4.3
35.76,82.15,29,5
36.58,70.95,176,3.9
36.67,71.36,270,4
36.36,70.25,308,4.5
36.76,70.64,164,4.6
18.58,73.69,12,3.2
25.93,63.66,33,4.3
35.73,70.1,96,3.8
30.35,80.93,37,3.4
33.78,73.18,15,3.9
5.12,86.55,10,5.6
34.99,73.25,19,4
37.8,70.9,102,5.3
31.24,86.35,10,5.2
29.67,82.38,10,3.8
26.11,93.1,33,4.6
17.37,73.63,10,3.4
22.92,93.77,59,4.3
25.98,93.78,33,4.3
12.32,93.2,62,4.9
29.32,81.68,10,3.2
36.39,70.64,38,4.4
3.18,97.35,33,4.8
17.2,73.91,20,2.8
34.6,75.6,10,4
32.44,72.99,39,4
0.99,98.49,44,5.4
35.89,70.66,116,4.5
4.66,91.44,10,5
21.11,78.66,15,1.4
35.6,69.69,53,4.4
27.63,76.5,10,3.3
35.73,68.6,81,4
39.25,94.13,10,4.7
30.39,83.39,18,3.6
38.7,81.22,10,4.3
23.28,94.23,33,4.1
13.63,92.82,38,4.4
31.84,69.31,10,4.5
2.13,98.7,25,5.8
36.2,70.36,33,4
36.91,72.49,243,4.2
2.34,97.64,33,5.4
35.57,72.7,10,4.4
36.32,70.67,118,4.8
32.4,96.43,10,4
32.14,95.36,10,4.4
37.48,72.87,314,4.1
19.92,99.44,10,5.9
20,99.61,10,5.2
19.86,99.79,10,5
26.68,67.43,15,4.9
26.82,67.57,10,4.2
26.2,68.65,10,4.2
36.74,71.12,290,4.3
29.88,80.27,19,3.4
29.3,67.84,10,4.2
3.91,93.18,22,5.9
2.32,94.5,10,5.4
26.41,93.18,56,3.7
31.92,77.13,13,4
36.91,70.23,167,4.7
18.25,88.9,34,5.8
2.32,97.28,53,4.8
25.6,98.43,10,5.4
35.8,69.35,200,4.1
3.3,96.9,10,4.9
25.32,95.5,126,4.7
38.1,71.67,100,4.2
24.39,94.46,85,4.5
25.22,98.4,29,5.9
26.6,90.38,14,4.2
16.45,95.87,10,4.9
1.76,89.79,7,5.9
33.85,69.51,37,4
24.71,97.78,10,4.2
36.15,69.47,150,4.9
22.49,93.51,50,4.3
36.36,70.39,230,4.4
27.4,88.15,5,3.9
24.6,91.43,18,3.9
31.41,86.77,10,3.5
23.28,94.15,35,3.7
27.64,66.1,15,5
33.41,75.54,6,5
28.61,77.26,18,2.7
29.15,86.3,10,3.3
36.38,70.31,184,5.6
26.88,92.64,10,4.5
3.65,96.88,33,4.8
36.87,70.87,235,4.6
32.4,76.39,6,4.1
36.54,71.1,247,4.9
35.4,69.61,250,4.2
36.18,70.26,200,4.4
12.9,93.45,33,4.9
25.9,94.29,45,4
21.5,85.4,16,3.3
30.19,80.49,10,3.4
35.45,74.83,33,4.8
27.87,87.94,15,4.2
2.78,97.27,33,5.6
30.31,80.53,10,4.1
29.44,81.18,10,3.7
35.94,74.97,204,4.1C
36.1,73.87,150,5.2
35.93,70.11,195,4.3
36.45,77.83,100,4.3
39.57,79.17,29,4.9
36.56,71.14,80,5.1
36.44,70.96,126,4
31.57,87.84,18,3.7
32.65,76.51,10,3.6
32.13,76.23,10,2.6
36.4,66.83,18,4.9
24.56,94.71,39,3.6
36.69,70.68,200,4
39.47,76.29,10,3.7
37.6,72.51,146,4.1
36.27,70.44,34,4.1
28.76,76.63,7,2.9
36.85,70.85,105,5.3
36.37,69.83,228,4.5
37.12,70.84,33,4
23.2,94.6,33,4
36.26,70.61,75,3.7
36.7,71.16,232,3.8
26.13,89.9,10,4
26.4,89.85,10,4.2
26.15,89.87,15,4.2
38.24,74.63,235,4
39.22,81.64,10,4.6
28.38,76.96,10,2.7
23.96,68.49,7,3.8
33.5,76.8,10,3.8
36.39,70.7,226,4.7
37.56,72.13,183,4.6
26.1,90.65,3,3.7
27.71,65.23,33,4.5
14.48,93.13,10,5.5
23.91,94.29,33,3.5
22.49,94.49,120,4.3
12.14,95.56,10,5.6
