Lat,Long,Depth,Magnitude
1.99,90.86,12,4.8
25.33,94.88,85,4.5
1.11,91.51,10,4.8
3.77,89.8,12,4.9
0.85,91.9,10,4.4
0.99,91.87,10,4.6
1.75,91.28,10,4.6
0.25,92.27,12,4.6
2.34,90.1,10,4.6
23.8,70.54,10,4
23.97,93.94,21,3.3
2.9,90.32,20,4.5
17.4,73.81,12,4.9
17.3,73.71,15,4
4.68,89.66,16,4.6
2.7,90.32,21,5.1
0.31,92.3,23,5.3
24.97,91.18,12,3
2.84,91.81,17,4.4
3.59,92.62,12,4.2
37.8,71.81,50,4.9
2.53,90.3,15,6.2
1.22,91.78,12,4.9
1.39,91.44,11,4.5
2.3,90.71,11,4.9
10.52,92.93,35,4.3
1.17,92.28,24,5.3
2.74,91.79,10,4.3
0.35,92.2,12,5.2
5.14,95.3,60,5
36.68,69.8,186,4.8
2.12,92.5,14,4.9
2.59,92.6,10,5.1
24.68,94.58,30,2.9
2.99,89.47,14,4.6
1.73,89.76,12,4.7
3.73,92.71,17,5
0.84,91.86,10,4.6
1.41,91,20,4.8
1.76,93.75,12,4.7
0.88,92.1,10,4.6
23.12,93.71,17,2.6
25.96,90.55,12,2.6
25.48,90.68,12,2.8
2.65,91.89,10,5
25.9,92.24,16,3.5
25.4,93.3,36,2.7
1.35,91.65,12,4.5
3.44,93.71,19,5.2
3.77,93.77,34,5.2
3.48,93.83,22,5.5
2.25,93.45,28,5.9
3.22,93.78,10,5.1
1.73,91.63,10,4.5
38.82,65.9,12,4.7
1.34,91.75,9,4.9
24.26,94.9,15,3.4
28.36,73.12,23,2.8
7.68,94.7,49,4.7
38.3,73.5,119,4.4
39.98,75.52,30,4
5.58,61.51,11,5.2
8.73,94.8,14,5.5
8.67,93.76,21,4.5
24.72,93.47,30,3
8.72,94.6,15,4.8
1.32,91.78,10,5.1
8.54,94.1,14,4.5
26.28,93.57,35,3
25.3,93.54,12,2.7
23.9,94.71,15,3
9.73,94.4,9,5.8
8.54,94.26,12,5.4
26.91,92.98,13,3.2
8.37,94.4,10,4.4
20.24,94.76,10,2.7
36.41,82.66,12,4.5
37.48,71.82,122,4.2
24.93,93.69,11,3.1
3.13,94.66,11,5.4
0.23,92.21,10,4.4
2.24,89.65,23,4.8
36.58,71,210,4.8
26.22,92.48,15,2.7
2.27,89.71,14,4.8
1.9,93.8,12,4.9
1.78,92.51,10,4.9
2.86,94.64,14,5.3
28.2,87.95,35,3.6
1.61,89.51,14,5.5
14.27,93.41,35,5.4
2.98,92.92,25,5
9.68,94.6,29,4.7
26.21,92.14,16,3.8
26.32,90.21,12,2.8
8.83,94.2,10,4.7
21.95,94.12,23,4.1
2.65,91.19,10,4.3
28.3,94.13,12,3.5
2.36,91.98,12,4.7
28.18,76.21,10,3.5
9.67,93.43,33,5
8.86,93.93,24,4.8
36.34,70.46,113,4.9
2.81,94.5,10,5
25.16,92.56,16,2.8
37.63,72.15,95,4.5
2.19,89.53,10,5.2
27.37,95.18,18,4.4
3.56,86.91,12,4.8
33.68,96.1,10,4.4
4.68,88.8,12,5.1
32.4,76.32,10,3.6
29.65,80.78,15,3.1
3.93,92.65,10,4.8
23.53,87.44,15,4.2
1.95,89.76,10,4.8
23.61,93.7,26,3.3
20.22,94.66,33,4.4
34.36,74.47,15,3.5
25.24,93.79,23,2.6
30.18,79.39,10,3.9
26.25,92.88,43,5.3
26.26,92.87,40,3.8
36.59,69.64,33,4.3
26.9,92.97,26,2.7
38.33,89.43,18,4.8
2.93,90.36,37,4.6
2.58,89.76,10,4.2
38.66,70.14,15,6
3.66,92.81,10,4.9
24.36,94.43,20,3.2
25.16,94.94,20,2.9
28.78,76.83,8,3
24.14,94.8,14,3.9
25.9,95.1,26,3.1
25.22,91.42,10,3
24.5,94.44,30,3
24.87,95.29,25,3.2
28.87,76.75,12,3.4
25.26,95.53,12,3.1
33.52,86.94,20,4.5
3.18,95.87,36,4.7
37.91,77.39,31,4.8
36.38,71.29,122,4.4
33.85,72.46,16,4.1
25.17,94.31,40,4
37.8,71.7,30,3.9
0.7,91.97,10,4.7
0.76,92.65,10,4.5
24.77,92.25,10,2.1
24.63,94.15,28,4
35.79,70.23,76,4.4
13.3,92.11,27,4.3
26.66,91.65,22,4.5
36.6,71.43,85,4.7
12.17,77.62,8,3.3
38.49,72.87,66,4.3
30.85,83.54,35,4.8
36.22,70.2,144,4.1
27.32,87.1,10,4.2
23.1,93.18,10,3.4
24.49,94.89,30,4
8.31,91.9,17,4.9
3.4,88.29,10,4.8
1.92,96.37,20,4.7
24.72,93.88,30,3.4
36.59,70.42,30,3.8
34.85,69.37,39,3.6
23.88,62.3,10,4.8
29.22,95.51,30,4
24.77,95.3,12,3.9
30.51,79.6,15,3.2
35.9,70.52,30,3.8
37.82,73.72,30,3.5
36.25,70.47,30,3.7
36.3,70.12,24,4.3
35.1,79.65,33,4.1
36.53,71.21,30,3.8
36.5,69.92,30,3.6
36.9,71.5,30,3.9
5.53,94.79,63,5.5
0.22,96.98,39,4.8
25.28,93.7,10,2.9
0.18,92.46,10,4.6
24.96,91.17,13,3.3
23.1,94.2,10,3.7
36.29,70.52,38,3.6
28.3,84.15,15,4.6
20.14,82.89,8,3.9
28.42,86.76,20,3.5
3.48,92.32,10,4.1
36.28,70.52,86,4.7
24.1,95.2,20,3.2
4.55,96.21,31,4.6
27.43,88.19,10,3.8
35.84,69.29,29,5.3
35.94,69.28,20,5.7
22.32,78.86,15,3.4
23.88,94.16,14,3.9
24.87,91.17,10,2.7
28.71,76.65,13,2.8
23.29,94.54,10,3.4
25.91,92.68,28,3.4
2.38,91.6,10,4.7
18.41,76.84,25,2.7
29.79,68.91,10,4.1
28.68,81.74,10,3.5
26.35,92.76,37,3.8
23.79,93.58,20,3.5
27.11,91.76,12,3.3
25.88,90.58,10,3.2
28.66,76.59,10,3.8
23.62,70.22,17,5
11.15,76.2,11,3.3
34.82,73.24,41,4.3
26.76,95.6,30,3.5
26.8,65.73,38,4.4
29.2,77.8,15,3.5
36.43,68.41,35,4
29.7,77.2,15,3.4
1.53,92.42,38,4.9
3.43,97.95,77,6.2
36.39,70.4,30,4.1
2.56,91.1,10,4.8
36.48,70.52,33,3.7
36.42,70.31,30,3.7
2.97,90.65,17,5.4
0.86,99.56,30,4.8
35.72,69.85,33,4.4
36.71,71.2,91,4.6
24.82,91.88,23,3.6
21.75,94.66,12,3.5
1.68,90.12,10,4.6
36.71,71.32,75,4.4
37.99,69.17,18,4.6
24.16,91.92,17,3.7
37.72,71.98,50,4.1
1.8,96.55,30,5
28.93,96.55,43,4.8
25.67,94.54,69,5.6
25.68,94.63,68,4.3
28.59,77.4,9,2
28.55,76.3,10,3.3
36.12,68.7,28,4.5
24.88,95.32,15,3.4
2.79,93.26,13,4.9
25.2,92.2,22,3.1
29.84,88.16,10,4.7
36.65,70.51,33,3.6
36.29,70.39,30,3.6
24.9,93.89,19,3.3
33.78,75.21,41,3.7
25.67,94.21,14,3.1
36.53,69.73,90,4.4
23.49,94.23,12,2.7
33.23,75.73,10,2.8
2.97,86.57,10,4.5
31.82,72.6,10,3.2
24.58,94.21,19,2.9
36.54,70.64,33,3.9
28.84,76.74,10,2.8
22.74,93.32,24,3.3
24.4,94.13,16,3.3
30.2,77.1,10,2.4
26.17,92.95,34,3.5
25.3,96.64,30,5.1
25.34,96.54,15,3.1
24.98,94.7,10,3.4
32.6,69.24,10,3.2
26.75,92.32,15,3.5
26.5,93.19,51,4.5
25.67,91.64,10,3.4
1.9,92.2,10,4.5
27.1,92.11,14,3.1
29.4,81.38,12,4
38.6,73.67,38,4.1
36.63,70.56,152,5.8
36.48,70.96,146,4.7
26.48,93.18,41,2.6
25.68,91.58,13,2.6
25.55,94.33,53,5.5
23.9,94.11,12,3.3
22.58,89.37,33,3.2
28.83,77.28,13,2.2
24.94,94.99,30,3.2
36.21,70.44,30,4.1
24.96,96.58,10,3.6
22.86,93.33,48,4.3
24.82,93.22,22,2.9
36.28,70.4,117,4.2
31.24,73.54,10,4.1
36.49,70.74,50,4.1
24.81,91.96,34,3.3
31.19,76.95,10,2.3
37.22,71.9,93,5.7
23.8,94.45,10,3.2
2.2,93.64,38,4.9
25.1,96.58,23,5.1
2.52,95.91,22,5
29.84,88.8,29,4.8
36.35,87.41,25,4.2
29.78,87.93,35,4.3
36.14,68.68,29,4.5
39.15,68.2,39,4.3
24.64,93.85,22,3.2
26.19,92.21,35,3.3
2.71,96.11,11,6.2
2.2,89.64,10,4.9
36.22,68.53,24,4.7
38.25,73.87,127,5.4
33.76,75.75,15,4.3
27.61,92.67,12,3.1
27.56,92.75,11,3.1
25.5,94.14,22,3.3
29.86,80.71,17,4.5
36.9,70.2,33,4.1
22.94,94.5,75,5.7
23.6,93.63,10,2.9
22.99,93.76,14,3.4
24.12,94.33,10,3.5
36.83,70.62,30,3.9
27.89,92.7,12,3.4
37.25,71.58,90,4.4
21.23,72.8,11,3.2
28.62,82.45,10,4.3
28.72,82.42,10,4.3
36.53,70.5,50,3.7
29.95,85.7,10,4.4
26.4,96.5,44,4.7
19.72,89.86,10,4.6
9.15,93.84,50,4.1
1.9,89.44,10,4.9
33.72,74.75,15,3.5
26.36,96.57,15,5
37.68,72.1,148,4.5
26.3,93.4,39,3
4.78,96.43,37,5.3
2.65,92.48,20,4.6
24.83,91.82,27,4.2
30.53,94.89,24,4.8
21.1,94.2,10,3.3
21.94,94.58,10,3.8
36.6,71.8,66,4.5
35.85,77.63,63,4.4
30.9,94.35,24,4.7
39.74,76.69,30,4.1
36.76,70.99,33,3.9
35.67,77.61,30,4.1
26.23,93.65,33,3.1
30.85,95.14,10,3.7
28.56,86.84,35,4.7
28.52,86.82,23,3.7
1.83,97.6,10,5.3
28.45,86.83,15,4
35.64,82.52,13,6
2.95,91.47,10,4.4
35.18,73.57,20,5.4
2.93,92.4,10,4.8
36.69,69.79,154,4.2
36.7,70.55,167,4.5
23.49,93.1,30,3.4
26.33,93.14,38,3.3
35.58,82.57,10,4.7
23.44,94.14,10,3.3
17.33,80.73,10,3.3
26.35,92.62,44,3.3
25.33,93.92,10,2.9
4.73,94.97,41,5.2
26.62,92.55,38,4.8
26.58,92.66,42,3.9
24.93,92.68,19,2.8
3.59,92.69,23,5.1
24.53,90.81,15,3.3
36.35,69.86,33,3.8
26.5,97.19,20,2.8
28.35,82.65,15,5
28.35,82.59,32,4.3
36.34,69.55,30,3.7
26.37,92.73,34,3.1
3.68,93.37,10,4.8
35.7,89.73,10,4.6
2.5,99.9,148,5.3
10.23,92.78,58,5.2
4.38,92.99,15,5.4
25.2,96.64,30,3.1
25.5,94.23,20,2.7
26.24,95.98,11,3.4
31.92,69.83,15,4
36.39,70.11,20,4
38.16,73.9,23,4.5
20.87,84.98,15,3.7
24.95,96.59,10,3.5
29.76,67.24,10,4.4
28.56,76.66,15,2.5
18.11,76.54,10,2.6
26.29,92.57,19,3.2
37.4,78.87,41,4.5
26.12,89.85,27,3
25.6,91.5,15,4.4
36.44,70.46,30,4.1
1.42,91.9,12,4.6
6.75,95.56,233,4.7
38.99,74.99,30,4
37.78,72.75,30,4
36.14,70.2,33,4
37.32,79.25,14,4.7
36.98,79.36,16,3.7
13.69,92.75,31,4.8
39.85,74.38,48,4.5
10.6,93.65,39,5.1
17.45,73.4,15,3.1
10.59,93.76,29,4.5
0.68,92.71,27,4.8
23.32,90.76,30,3.3
24.74,99.31,10,5
23.95,94.12,11,3.9
24.65,93.73,13,3.8
21.3,76.51,20,3
36.9,71.25,158,5.2
30.1,70.9,10,4.6
36.29,69.5,169,4.7
3.78,90.15,10,4.9
28.9,77.43,17,3.3
27.27,94.87,34,3.4
27.48,88.64,30,4.6
3.65,92.68,10,4.9
26.4,90.61,20,3.2
26.24,93.28,30,3.5
22.27,93.85,30,3.7
17.7,73.96,16,2.9
24.19,91.7,12,3
24.79,94.9,40,3.5
0.4,98.77,44,5.3
26.11,95.31,50,4
36.59,69.93,109,4.1
4.79,94.36,15,4.6
25.86,97.52,30,3.7
25.43,96.89,40,4.5
26.83,93.14,28,3.3
31,84.39,33,3.6
23.81,93.91,12,3.4
36.58,68.88,30,5.2
25.57,95.27,30,2.6
6.11,92.76,19,5.4
2.82,89.58,10,4.9
25.27,95.47,13,2.7
2.41,89.9,10,4.7
32.32,76.36,11,4.4
32.42,76.27,10,5
26.85,92.91,37,5.2
26.86,92.96,29,4.4
26.91,92.91,24,3.6
37.15,71.81,126,4.8
32.5,76.29,10,3.8
32.45,76.25,12,3.6
32.43,76.3,10,3
37.29,71.85,80,4.6
25.1,94.99,30,3.3
31.78,78.54,10,4.8
24.9,95.38,15,3
36.48,71.4,81,4.6
26.16,96.65,10,3.4
31.82,78.4,10,2.9
25.96,95.35,60,3.6
32.16,77.71,24,3.4
27.99,88.3,25,3.2
2.79,89.62,10,4.3
1.69,92.58,35,5.4
33.97,73.58,20,4.7
25.78,95.56,50,3.6
24.65,93.69,37,4.1
26.97,92.73,30,3.6
24.91,95.15,50,3.2
26.65,95.71,40,2.8
12.59,75.58,10,3.8
35.88,69.24,55,5
24.23,94.52,34,3.2
21.46,93.59,10,3.8
36.6,69.57,102,5.1
26.27,92.23,34,3.2
35.82,69.87,30,3.7
1.38,97.17,46,5
24.11,94.3,9,3.4
23.78,81.36,10,5
36.57,70.56,30,4.4
25.67,91.79,11,3.2
25.2,95.39,33,3.2
24.12,94.13,26,3.7
37.78,69.6,23,4.7
28.42,91.95,15,4.1
13.75,96.8,30,4.7
25.31,92.96,14,3.3
38.28,73.91,145,4.6
27.35,60.28,65,4.7
20.88,92.83,39,3.7
28.4,87.78,35,3.9
22.85,94.36,56,3.2
2.24,92.48,35,4.5
25.25,94.27,10,3
24.75,94.19,35,3.6
24.88,92.6,39,2.8
25.9,95.72,40,2.8
28.93,94.3,13,4
26.37,93.24,39,3.3
25.9,94.91,40,3.2
26.57,94.3,40,2.8
24.13,92.96,25,3.8
30.18,79.61,10,3.5
25.1,96.54,10,3.3
26.51,93.57,15,3
10.37,92.58,68,5.1
28.74,94.22,10,4.2
23.18,94.27,14,3.8
36.43,71.18,211,5.1
25.65,91.84,10,3.4
25.83,93.43,38,3.2
1.13,98.45,69,5.4
16.2,79.71,12,4
26.15,92.46,32,3.9
22.72,77.7,10,2.9
25.89,71.14,10,3.6
24.12,93.39,32,2.8
23.62,70.16,10,2.4
23.69,70.27,10,2.9
24.96,94.97,11,4.4
25.13,95.3,20,2.6
34.3,76.4,10,2.6
28.44,86.2,19,4.5
25.71,91.42,15,2.5
32.43,76.29,10,4.1
36.96,73.45,10,4.2
36.56,70.86,33,3.9
1.8,97.68,12,5.2
25.8,95.15,20,2.8
23.4,95.91,14,6.3
22.75,95.91,19,4.8
22.65,95.89,14,4.9
22.79,95.8,10,3.9
22.53,95.93,32,5.8
22.73,95.56,10,4.6
23.18,95.86,28,5.6
29.3,81.43,10,4.8
32.36,76.21,10,4
29.42,81.53,10,2.9
26.9,92.34,10,2.9
30.64,78.6,10,2.5
19.18,96.9,22,4.8
22.46,95.78,10,3.3
23.8,95.61,10,3.5
22.98,95.95,10,3.3
22.89,95.87,10,5
22.27,95.74,15,3.5
21.46,89.18,39,3.7
24.78,94.65,30,3
23.29,91.43,26,3.5
30.3,80.5,10,3
24.91,95.3,30,3
37.49,71.75,105,5.1
28.3,93.28,10,3.6
24.51,93.75,20,2.8
32.48,96.69,10,3.9
37.1,70.45,96,4.4
35.81,69.49,30,3.5
36.28,69.76,30,3.6
36.8,70.86,30,4.2
28.64,76.62,15,3.5
36.56,70.66,202,4.3
22.93,95.93,33,5
30.41,67.54,10,5.2
30.29,67.48,10,3.7
22.6,76.3,15,3.3
25.68,93,10,3.3
23.97,94.9,32,3.3
22.58,96.5,10,3.5
2.48,96.5,29,4.3
24.51,94.43,22,2.8
25.91,95.36,30,3.2
23.73,91.46,20,4.1
26.89,92.92,26,3.4
36.51,70.46,66,4.4
25.7,95.26,17,3.7
30.39,80.6,10,2.6
28.66,96.9,13,3.6
22.71,95.99,12,3.3
32.55,88.32,24,3.1
13.91,93.83,54,5
